Dimension,Total Epochs,Current Epoch,Training Accuracy,Training Time,Validation Accuracy,Validation Time
10,10,3,0.729375,12.177754163742065,0.62,0.17200422286987305
10,10,4,0.754625,12.257554292678833,0.60625,0.1769556999206543
10,10,5,0.7875,12.159034729003906,0.58625,0.17818379402160645
10,10,6,0.791125,12.121431112289429,0.6225,0.20199966430664062
10,10,7,0.783375,12.208851099014282,0.585,0.17714452743530273
10,10,8,0.783,12.169567584991455,0.535,0.16479134559631348
10,10,9,0.77075,12.225009441375732,0.56875,0.16414451599121094
10,10,10,0.824375,12.238191604614258,0.55125,0.1740875244140625
10,25,1,0.79325,12.276663780212402,0.58,0.17613601684570312
10,25,2,0.842875,12.22146487236023,0.60625,0.18837976455688477
10,25,3,0.828,12.168011903762817,0.55375,0.16418147087097168
10,25,4,0.85,12.278775215148926,0.58375,0.1700117588043213
10,25,5,0.832875,12.130606651306152,0.5825,0.16165709495544434
10,25,6,0.8605,12.777728796005249,0.59875,0.1872091293334961
10,25,7,0.71625,12.43379545211792,0.6125,0.17544126510620117
10,25,8,0.851625,12.408533096313477,0.60625,0.1787729263305664
10,25,9,0.86225,12.543087482452393,0.625,0.19588208198547363
10,25,10,0.896625,12.406174182891846,0.60375,0.1751689910888672
10,25,11,0.89925,12.391647577285767,0.615,0.16754508018493652
10,25,12,0.8625,12.414261817932129,0.5575,0.18861150741577148
10,25,13,0.88225,12.316823482513428,0.58625,0.19450592994689941
10,25,14,0.904875,12.402161836624146,0.6075,0.16740679740905762
10,25,15,0.919125,12.454095125198364,0.585,0.18822932243347168
10,25,16,0.91725,12.461737155914307,0.57375,0.18045306205749512
10,25,17,0.85375,12.461761951446533,0.59375,0.17307353019714355
10,25,18,0.941125,12.488248586654663,0.595,0.16713500022888184
10,25,19,0.947375,12.5458824634552,0.56125,0.17814421653747559
10,25,20,0.85225,12.570041418075562,0.56625,0.16464924812316895
10,25,21,0.93075,12.581993818283081,0.575,0.18861055374145508
10,25,22,0.935125,12.487815141677856,0.53,0.1808004379272461
10,25,23,0.933,12.485883951187134,0.55875,0.17042994499206543
10,25,24,0.917375,12.454170227050781,0.4925,0.17461514472961426
10,25,25,0.77425,12.533435821533203,0.58625,0.17232322692871094
25,1,1,0.53525,21.36137294769287,0.575,0.20916056632995605
25,5,1,0.59225,21.715760231018066,0.51875,0.213975191116333
25,5,2,0.621875,22.23804473876953,0.56375,0.1965937614440918
25,5,3,0.641375,22.427449703216553,0.6175,0.21135926246643066
25,5,4,0.659625,22.410422563552856,0.575,0.20579051971435547
25,5,5,0.67275,22.684699296951294,0.58625,0.23572993278503418
25,10,1,0.706,22.81294584274292,0.6325,0.21085286140441895
25,10,2,0.73025,22.864115476608276,0.61,0.23109984397888184
25,10,3,0.75,23.301894426345825,0.615,0.20834064483642578
25,10,4,0.764375,22.74076008796692,0.59375,0.20576953887939453
25,10,5,0.7985,22.789631128311157,0.59625,0.22738289833068848
25,10,6,0.8065,22.840036630630493,0.58375,0.2060384750366211
25,10,7,0.821125,22.883318662643433,0.60875,0.20422744750976562
25,10,8,0.82925,22.789958238601685,0.62125,0.23206686973571777
25,10,9,0.8755,22.870140552520752,0.5975,0.2107234001159668
25,10,10,0.864125,22.849474668502808,0.57625,0.1957850456237793
25,25,1,0.876625,22.894462823867798,0.5325,0.20662307739257812
25,25,2,0.870875,23.005664587020874,0.58125,0.20315861701965332
25,25,3,0.9055,22.9568989276886,0.58875,0.2242128849029541
25,25,4,0.888875,22.964543104171753,0.59625,0.20808625221252441
25,25,5,0.885,22.956541776657104,0.58625,0.20209884643554688
25,25,6,0.9155,23.08094549179077,0.6,0.23279523849487305
25,25,7,0.93,23.612130165100098,0.6025,0.21651864051818848
25,25,8,0.93375,22.6570987701416,0.59625,0.21037721633911133
25,25,9,0.96875,22.75730037689209,0.58125,0.2039806842803955
25,25,10,0.956875,22.755250930786133,0.56125,0.21050214767456055
25,25,11,0.953375,29.11707878112793,0.57875,0.35833287239074707
25,25,12,0.90525,32.215818881988525,0.59875,0.3171114921569824
25,25,13,0.94975,32.93828773498535,0.59875,0.2791626453399658
25,25,14,0.965125,32.045608043670654,0.59875,0.3055398464202881
25,25,15,0.955625,31.829500436782837,0.56875,0.32282066345214844
25,25,16,0.9755,31.99160623550415,0.60375,0.30454182624816895
25,25,17,0.97925,32.14940023422241,0.56875,0.3169677257537842
25,25,18,0.978375,31.60387921333313,0.59625,0.2827646732330322
25,25,19,0.998,31.402876138687134,0.6275,0.31035947799682617
25,25,20,0.9995,31.724344968795776,0.6075,0.30808472633361816
25,25,21,0.9995,31.107811450958252,0.61375,0.301055908203125
25,25,22,0.99975,30.959888696670532,0.61875,0.28880810737609863
25,25,23,0.999875,31.573704719543457,0.61625,0.26741552352905273
25,25,24,0.999875,30.691413164138794,0.61625,0.29820942878723145
25,25,25,0.999875,30.76501488685608,0.61375,0.2824394702911377
