Dim1,Dim2,Epoch,Training Accuracy,Training Time,Validation Accuracy,Validation Time
25,10,1,0.516875,21.709136962890625,0.53875,0.2273106575012207
25,10,2,0.56925,22.118947982788086,0.5725,0.22272157669067383
25,10,3,0.613125,22.686733961105347,0.5825,0.24889469146728516
25,10,4,0.648,22.617816925048828,0.51125,0.2133777141571045
25,10,5,0.6565,22.708826065063477,0.60375,0.2326195240020752
25,10,6,0.684,22.658538818359375,0.58625,0.21352720260620117
